State,County,Rate,Candidate,Percentage
MS,Newton County,6.7,Donald Trump,0.689899930183849
MS,Newton County,6.7,Hillary Clinton,0.29660228066092603
MS,Newton County,6.7,Gary Johnson,0.0068652548289504295
MS,Newton County,6.7,Darrell Castle,0.00314172678612986
MS,Newton County,6.7,Jill Stein,0.00209448452408657
MS,Newton County,6.7,Rocky De La Fuente,0.000698161508028857
MS,Newton County,6.7,Jim Hedges,0.000698161508028857
MS,Panola County,8.0,Donald Trump,0.496229971724788
MS,Panola County,8.0,Hillary Clinton,0.491450114447287
MS,Panola County,8.0,Gary Johnson,0.00639558368116332
MS,Panola County,8.0,Darrell Castle,0.0031641308738387
MS,Panola County,8.0,Jill Stein,0.00134643866971859
MS,Panola County,8.0,Jim Hedges,0.0008078632018311572
MS,Panola County,8.0,Rocky De La Fuente,0.000605897401373367
MS,Monroe County,8.1,Donald Trump,0.6404537101577851
MS,Monroe County,8.1,Hillary Clinton,0.3475698624928711
MS,Monroe County,8.1,Gary Johnson,0.00671693809010836
MS,Monroe County,8.1,Darrell Castle,0.0024079589379633697
MS,Monroe County,8.1,Jill Stein,0.0017742855332361699
MS,Monroe County,8.1,Jim Hedges,0.000697040745199924
MS,Monroe County,8.1,Rocky De La Fuente,0.00038020404283632203
MS,Hinds County,6.0,Hillary Clinton,0.709251005069044
MS,Hinds County,6.0,Donald Trump,0.27223169026394
MS,Hinds County,6.0,Gary Johnson,0.0102364097185807
MS,Hinds County,6.0,Jill Stein,0.00481777661248034
MS,Hinds County,6.0,Darrell Castle,0.0028294878517741697
MS,Hinds County,6.0,Rocky De La Fuente,0.000360513896171998
MS,Hinds County,6.0,Jim Hedges,0.000273116588009089
MS,Kemper County,10.2,Hillary Clinton,0.609398577279586
MS,Kemper County,10.2,Donald Trump,0.38327225695192896
MS,Kemper County,10.2,Gary Johnson,0.0038801465833153705
MS,Kemper County,10.2,Darrell Castle,0.00237120068980384
MS,Kemper County,10.2,Jim Hedges,0.000646691097219228
MS,Kemper County,10.2,Rocky De La Fuente,0.000215563699073076
MS,Kemper County,10.2,Jill Stein,0.000215563699073076
MS,Calhoun County,6.6,Donald Trump,0.6878056475784821
MS,Calhoun County,6.6,Hillary Clinton,0.297207761476574
MS,Calhoun County,6.6,Gary Johnson,0.00772992585581322
MS,Calhoun County,6.6,Darrell Castle,0.004101593311247829
MS,Calhoun County,6.6,Jill Stein,0.0015775358889414698
MS,Calhoun County,6.6,Rocky De La Fuente,0.000788767944470737
MS,Calhoun County,6.6,Jim Hedges,0.000788767944470737
MS,Clarke County,7.3,Donald Trump,0.6596654998055229
MS,Clarke County,7.3,Hillary Clinton,0.33138856476079304
MS,Clarke County,7.3,Gary Johnson,0.00375988590691041
MS,Clarke County,7.3,Darrell Castle,0.00272267600155581
MS,Clarke County,7.3,Jill Stein,0.0019447685725398696
MS,Clarke County,7.3,Rocky De La Fuente,0.0003889537145079741
MS,Clarke County,7.3,Jim Hedges,0.000129651238169325
MS,Jefferson County,18.6,Hillary Clinton,0.864731795802021
MS,Jefferson County,18.6,Donald Trump,0.126716766001555
MS,Jefferson County,18.6,Gary Johnson,0.00336874838040943
MS,Jefferson County,18.6,Darrell Castle,0.0018139414356050801
MS,Jefferson County,18.6,Jill Stein,0.0018139414356050801
MS,Jefferson County,18.6,Jim Hedges,0.0012956724540036301
MS,Jefferson County,18.6,Rocky De La Fuente,0.00025913449080072596
MS,Madison County,4.9,Donald Trump,0.568438110459954
MS,Madison County,4.9,Hillary Clinton,0.407520866631149
MS,Madison County,4.9,Gary Johnson,0.0166045107440952
MS,Madison County,4.9,Darrell Castle,0.003551767004084529
MS,Madison County,4.9,Jill Stein,0.0028192150594921
MS,Madison County,4.9,Jim Hedges,0.000554963594388208
MS,Madison County,4.9,Rocky De La Fuente,0.000510566506837152
MS,Sharkey County,9.0,Hillary Clinton,0.669781931464174
MS,Sharkey County,9.0,Donald Trump,0.321391484942887
MS,Sharkey County,9.0,Gary Johnson,0.00415368639667705
MS,Sharkey County,9.0,Darrell Castle,0.00259605399792316
MS,Sharkey County,9.0,Jim Hedges,0.0010384215991692599
MS,Sharkey County,9.0,Jill Stein,0.0010384215991692599
MS,Sharkey County,9.0,Rocky De La Fuente,0.0
MS,Tunica County,7.4,Hillary Clinton,0.7441524689575509
MS,Tunica County,7.4,Donald Trump,0.24256425064972606
MS,Tunica County,7.4,Gary Johnson,0.00519780537106555
MS,Tunica County,7.4,Darrell Castle,0.00346520358071037
MS,Tunica County,7.4,Jill Stein,0.00231013572047358
MS,Tunica County,7.4,Rocky De La Fuente,0.0014438348252959901
MS,Tunica County,7.4,Jim Hedges,0.000866300895177592
MS,Tate County,6.3,Donald Trump,0.648432698217578
